Event	ID	Name			Wwise Object Path	Notes
	54691296	SFX_menuConfirm			\Default Work Unit\SFX\UI\SFX_menuConfirm	
	76764264	SFX_menuSelect			\Default Work Unit\SFX\UI\SFX_menuSelect	
	924590925	UTL_setStateUnpaused			\Default Work Unit\States\UTL_setStateUnpaused	
	1288124910	SFX_menuCancel			\Default Work Unit\SFX\UI\SFX_menuCancel	
	1324413170	TestMusic			\Default Work Unit\Test\TestMusic	
	1358160235	SFX_player_takeDamage			\Default Work Unit\SFX\Player\Health\SFX_player_takeDamage	
	1650626098	TestSFX			\Default Work Unit\Test\TestSFX	
	1847534809	SFX_playerChargeEnd			\Default Work Unit\SFX\Player\Combat\SFX_playerChargeEnd	
	1882098847	SFX_playerShoot			\Default Work Unit\SFX\Player\Combat\SFX_playerShoot	
	1901650632	SFX_enemy_takeDamage			\Default Work Unit\SFX\Enemy\Health\SFX_enemy_takeDamage	
	2434673480	UTL_setStatePaused			\Default Work Unit\States\UTL_setStatePaused	
	2870271946	SFX_playerCharge			\Default Work Unit\SFX\Player\Combat\SFX_playerCharge	
	3086540886	StopAll			\Default Work Unit\Debug\StopAll	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12839961	Laser_00	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_rangedWeapon_laser_00_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Shoot\Laser\Laser_00		44066
	26151068	Bubble_01	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_rangedWeapon_bubble_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Shoot\Bubble\Bubble_01		23400
	66690859	Test_Boing	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\Test_Boing_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Test_Boing		127392
	69446317	Bubble_02	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_rangedWeapon_bubble_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Shoot\Bubble\Bubble_02		31324
	76129335	sfx_player_chargeLoop	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_chargeLoop_E76865FC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Charge\Charge_Sequence\sfx_player_chargeLoop		123842
	126872802	MusicDemo	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\MusicDemo2_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music_Test\Music_Test\MusicDemo		11048324
	167822009	Bubble_03	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_rangedWeapon_bubble_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Shoot\Bubble\Bubble_03		13952
	228475610	TakeDamage_03	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_takeDamage_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Damage\Take_Damage\TakeDamage_03		62470
	257601877	Laser_02	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_rangedWeapon_laser_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Shoot\Laser\Laser_02		44324
	312519200	Laser_03	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_rangedWeapon_laser_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Shoot\Laser\Laser_03		46128
	410768857	TakeDamage_01	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_takeDamage_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Damage\Take_Damage\TakeDamage_01		66656
	461077377	Laser_01	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_rangedWeapon_laser_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Shoot\Laser\Laser_01		38948
	495839321	Cancel	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_UI_menu_cancel_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Cancel		47280
	628808717	sfx_player_chargeHead	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_chargeHead_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Charge\Charge_Sequence\sfx_player_chargeHead		71976
	702952511	Bubble_00	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_rangedWeapon_bubble_00_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Shoot\Bubble\Bubble_00		44066
	746209503	Confirm	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_UI_menu_confirm_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Confirm		42604
	776192565	Select_01	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_UI_menu_select01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Select_01		42098
	804337693	TakeDamage_02	C:\Users\Jrlar\OneDrive\Documents\Digipen\GAM300_SVN\trunk\MegaloWwise\.cache\Windows\SFX\sfx_player_takeDamage_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Damage\Take_Damage\TakeDamage_02		60488

